,District_Key,District
212,CT_Gaurela Pendra Marwahi,gaurela pendra marwahi
213,UP_Gautam Buddha Nagar,gautam buddha nagar
214,BR_Gaya,gaya
215,UP_Ghaziabad,ghaziabad
216,UP_Ghazipur,ghazipur
217,GJ_Gir Somnath,gir somnath
218,JH_Giridih,giridih
219,AS_Goalpara,goalpara
220,JH_Godda,godda
221,AS_Golaghat,golaghat
222,TR_Gomati,gomati
223,UP_Gonda,gonda
224,MH_Gondia,gondia
225,BR_Gopalganj,gopalganj
226,UP_Gorakhpur,gorakhpur
227,JH_Gumla,gumla
228,MP_Guna,guna
229,AP_Guntur,guntur
230,PB_Gurdaspur,gurdaspur
231,HR_Gurugram,gurugram
232,MP_Gwalior,gwalior
233,AS_Hailakandi,hailakandi
234,UP_Hamirpur,hamirpur
235,RJ_Hanumangarh,hanumangarh
236,UP_Hapur,hapur
237,MP_Harda,harda
238,UP_Hardoi,hardoi
239,UT_Haridwar,haridwar
240,KA_Hassan,hassan
241,UP_Hathras,hathras
242,KA_Haveri,haveri
243,JH_Hazaribagh,hazaribagh
244,MH_Hingoli,hingoli
245,HR_Hisar,hisar
246,AS_Hojai,hojai
247,WB_Hooghly,hooghly
248,MP_Hoshangabad,hoshangabad
249,PB_Hoshiarpur,hoshiarpur
250,WB_Howrah,howrah
251,TG_Hyderabad,hyderabad
252,KL_Idukki,idukki
253,MN_Imphal East,imphal east
254,MN_Imphal West,imphal west
255,MP_Indore,indore
256,MP_Jabalpur,jabalpur
257,OR_Jagatsinghpur,jagatsinghpur
258,TG_Jagtial,jagtial
259,RJ_Jaipur,jaipur
260,RJ_Jaisalmer,jaisalmer
261,OR_Jajpur,jajpur
262,PB_Jalandhar,jalandhar
263,UP_Jalaun,jalaun
264,MH_Jalgaon,jalgaon
265,MH_Jalna,jalna
266,RJ_Jalore,jalore
267,WB_Jalpaiguri,jalpaiguri
268,JK_Jammu,jammu
269,GJ_Jamnagar,jamnagar
270,JH_Jamtara,jamtara
271,BR_Jamui,jamui
272,TG_Jangaon,jangaon
273,CT_Janjgir Champa,janjgir champa
274,CT_Jashpur,jashpur
275,UP_Jaunpur,jaunpur
276,TG_Jayashankar Bhupalapally,jayashankar bhupalapally
277,BR_Jehanabad,jehanabad
278,MP_Jhabua,jhabua
279,HR_Jhajjar,jhajjar
280,RJ_Jhalawar,jhalawar
281,UP_Jhansi,jhansi
282,WB_Jhargram,jhargram
283,OR_Jharsuguda,jharsuguda
284,RJ_Jhunjhunu,jhunjhunu
285,HR_Jind,jind
286,MN_Jiribam,jiribam
287,RJ_Jodhpur,jodhpur
288,TG_Jogulamba Gadwal,jogulamba gadwal
