,test,test
292,kakching 28173825,HR_Kaithal
293,kalaburagi  2641873,MN_Kakching
294,kalahandi 1876588,KA_Kalaburagi
295,kalimpong 28769140,OR_Kalahandi
296,kallakurichi 60493360,WB_Kalimpong
297,kamareddy 27956125,TN_Kallakurichi
298,kamjong 28419390,TG_Kamareddy
299,kamle 48731073,MN_Kamjong
300,kamrup 2247441,AR_Kamle
301,kamrup metropolitan 2464674,AS_Kamrup
302,kanchipuram  15157,AS_Kamrup Metropolitan
303,kandhamal 2085500,TN_Kancheepuram
304,kangpokpi 28419386,OR_Kandhamal
305,kangra 727232,MN_Kangpokpi
306,kannauj 627979,HP_Kangra
307,kannur  2980652,UP_Kannauj
308,kanpur dehat 610612,KL_Kannur
309,kanpur nagar 2089152,UP_Kanpur Dehat
310,kanyakumari  15158,UP_Kanpur Nagar
311,kapurthala 172363,TN_Kanyakumari
312,karaikal 639264,PB_Kapurthala
313,karauli 1419668,PY_Karaikal
314,kargil  1650798,RJ_Karauli
315,karimganj 42542,AS_Karbi Anglong
316,karimnagar 15373,LA_Kargil
317,karnal 607915,AS_Karimganj
318,karur  15182,TG_Karimnagar
319,kasaragod  1419703,HR_Karnal
320,kasganj 890800,TN_Karur
321,kathua 2375700,KL_Kasaragod
322,katihar 77568,UP_Kasganj
323,katni 746441,JK_Kathua
324,kaushambi 1946937,BR_Katihar
325,kendrapara 2299172,MP_Katni
326,kendujhar 2085428,UP_Kaushambi
327,khagaria 49175,OR_Kendrapara
328,khammam 15371,OR_Kendujhar
329,khandwa 2085436,BR_Khagaria
330,khargone 2273900,TG_Khammam
331,kheda  1755463,MP_Khandwa
332,kheri 1755447,MP_Khargone
333,khordha 662818,GJ_Kheda
334,khowai 16086680,OR_Khordha
335,khunti 367344,TR_Khowai
336,kinnaur 1862950,JH_Khunti
337,kiphire 2597908,HP_Kinnaur
338,kishanganj 77375,NL_Kiphire
339,kishtwar 2321899,BR_Kishanganj
340,kochbihar 2728658,JK_Kishtwar
341,kodagu 1553185,KA_Kodagu
342,kodarma 2085480,JH_Koderma
343,kohima 953530,NL_Kohima
344,kokrajhar 42618,AS_Kokrajhar
345,kolar  2509866,KA_Kolar
346,kolasib 1947343,MZ_Kolasib
347,kolhapur 1797312,MH_Kolhapur
348,kolkata 1348,WB_Kolkata
349,kollam 1356124,KL_Kollam
350,komram bheem 28170184,TG_Komaram Bheem
351,kondagaon 12420995,CT_Kondagaon
352,konkan division 6268840,KA_Koppal
353,koppal  956387,OR_Koraput
354,koraput 1947300,CT_Korba
355,korba 2299121,CT_Koriya
356,koriya 2295896,RJ_Kota
357,kota 999432,KL_Kottayam
358,kottayam 1353354,KL_Kozhikode
359,kozhikode 1142979,AR_Kra Daadi
360,kra daadi 21018627,AP_Krishna
361,krishna 15382,TN_Krishnagiri
362,krishnagiri 15183,JK_Kulgam
363,kulgam 2321867,HP_Kullu
364,kullu 2980880,JK_Kupwara
365,kupwara 2297306,AP_Kurnool
366,kurnool 15381,HR_Kurukshetra
367,kurukshetra 980118,AR_Kurung Kumey
368,kurung kumey  2449506,UP_Kushinagar
369,kushinagar 825673,GJ_Kutch
370,kutch  1063417,HP_Lahul and Spiti
371,lahul and spiti 837595,AS_Lakhimpur
372,lakhimpur 42743,UP_Lakhimpur Kheri
373,lakhisarai 77505,BR_Lakhisarai
