0,1
ap_vizianagaram,theni  
ap_vizianagaram,idukki 
pb_hoshiarpur,ernakulam 
pb_hoshiarpur,virudhunagar  
pb_hoshiarpur,kottayam 
pb_hoshiarpur,tirunelveli kattabo 
pb_hoshiarpur,theni  
pb_hoshiarpur,dindigul  
pb_hoshiarpur,tiruppur 
pb_hoshiarpur,coimbatore  
pb_hoshiarpur,pattanamtitta 
as_tinsukia,virudhunagar  
as_tinsukia,ramanathapuram  
as_tinsukia,tirunelveli kattabo 
wb_kolkata,pattanamtitta 
wb_kolkata,alappuzha 
wb_kolkata,thiruvananthapuram 
wb_kolkata,tirunelveli kattabo 
ut_pauri garhwal,kollam 
ut_pauri garhwal,kottayam 
ut_pauri garhwal,tirunelveli kattabo 
ut_pauri garhwal,idukki 
ut_pauri garhwal,alappuzha 
jk_punch,tiruchchirappalli  
jk_punch,sivagangai  
jk_punch,thanjavur  
jk_punch,ramanathapuram  
hp_solan,madurai  
hp_solan,ramanathapuram  
hp_solan,virudhunagar  
hp_solan,tiruchchirappalli  
hp_solan,pudukkottai  
tn_tiruvannamalai,madurai  
tn_tiruvannamalai,sivagangai  
tn_tiruvannamalai,karur  
tn_tiruvannamalai,ariyalur  
tn_tiruvannamalai,perambalur  
tn_tiruvannamalai,thanjavur  
tn_tiruvannamalai,pudukkottai  
tn_tiruvannamalai,dindigul  
tn_tiruvannamalai,namakkal  
tn_tiruvannamalai,salem  
tn_thiruvallur,ariyalur  
tn_thiruvallur,tiruchchirappalli  
tn_thiruvallur,pudukkottai  
tn_thiruvallur,nagapattinam  
tn_thiruvallur,cuddalore  
tn_thiruvallur,thiruvarur  
jh_ranchi,thoothukudi  
jh_ranchi,pudukkottai  
jh_ranchi,virudhunagar  
jh_ranchi,sivagangai  
br_madhepura,sivagangai  
br_madhepura,tiruchchirappalli  
br_madhepura,virudhunagar  
br_madhepura,theni  
br_madhepura,dindigul  
tn_thoothukkudi,madurai  
tn_thoothukkudi,virudhunagar  
tn_thoothukkudi,dindigul  
tn_thoothukkudi,idukki 
as_dima hasao,madurai  
as_dima hasao,karur  
as_dima hasao,tiruchchirappalli  
as_dima hasao,theni  
as_dima hasao,idukki 
as_dima hasao,tiruppur 
as_karimganj,erode  
as_karimganj,tiruchchirappalli  
as_karimganj,tiruppur 
as_karimganj,dindigul  
as_karimganj,namakkal  
nl_tuensang,erode  
nl_tuensang,karur  
nl_tuensang,idukki 
nl_tuensang,dindigul  
nl_tuensang,coimbatore  
ar_east siang,thrissur 
ar_east siang,kottayam 
ar_east siang,idukki 
ar_east siang,coimbatore  
ar_east siang,alappuzha 
